Pourcentage erreur;Voisin;Dimension
31.25;6;('Taille', 'Pi')
27.96;7;('Taille', 'Pi')
26.32;8;('Taille', 'Pi')
26.32;9;('Taille', 'Pi')
29.28;10;('Taille', 'Pi')
24.01;11;('Taille', 'Pi')
28.29;12;('Taille', 'Pi')
24.34;13;('Taille', 'Pi')
26.97;14;('Taille', 'Pi')
26.97;15;('Taille', 'Pi')
28.29;16;('Taille', 'Pi')
24.34;17;('Taille', 'Pi')
24.34;18;('Taille', 'Pi')
23.68;19;('Taille', 'Pi')
29.93;1;('Polarite', 'Charge')
29.61;2;('Polarite', 'Charge')
28.29;3;('Polarite', 'Charge')
29.93;4;('Polarite', 'Charge')
28.62;5;('Polarite', 'Charge')
30.59;6;('Polarite', 'Charge')
30.59;7;('Polarite', 'Charge')
29.61;8;('Polarite', 'Charge')
29.93;9;('Polarite', 'Charge')
28.29;10;('Polarite', 'Charge')
29.61;11;('Polarite', 'Charge')
30.59;12;('Polarite', 'Charge')
30.92;13;('Polarite', 'Charge')
27.96;14;('Polarite', 'Charge')
27.96;15;('Polarite', 'Charge')
28.62;16;('Polarite', 'Charge')
29.28;17;('Polarite', 'Charge')
28.95;18;('Polarite', 'Charge')
29.93;19;('Polarite', 'Charge')
32.89;1;('Polarite', 'Volume')
32.24;2;('Polarite', 'Volume')
32.57;3;('Polarite', 'Volume')
31.25;4;('Polarite', 'Volume')
28.29;5;('Polarite', 'Volume')
28.95;6;('Polarite', 'Volume')
29.93;7;('Polarite', 'Volume')
27.96;8;('Polarite', 'Volume')
29.61;9;('Polarite', 'Volume')
26.32;10;('Polarite', 'Volume')
29.28;11;('Polarite', 'Volume')
27.96;12;('Polarite', 'Volume')
28.62;13;('Polarite', 'Volume')
27.3;14;('Polarite', 'Volume')
26.64;15;('Polarite', 'Volume')
26.97;16;('Polarite', 'Volume')
25.99;17;('Polarite', 'Volume')
26.64;18;('Polarite', 'Volume')
25.99;19;('Polarite', 'Volume')
30.92;1;('Polarite', 'Tendance helice')
35.86;2;('Polarite', 'Tendance helice')
35.2;3;('Polarite', 'Tendance helice')
31.25;4;('Polarite', 'Tendance helice')
29.93;5;('Polarite', 'Tendance helice')
28.95;6;('Polarite', 'Tendance helice')
28.29;7;('Polarite', 'Tendance helice')
28.29;8;('Polarite', 'Tendance helice')
28.95;9;('Polarite', 'Tendance helice')
26.97;10;('Polarite', 'Tendance helice')
28.29;11;('Polarite', 'Tendance helice')
28.95;12;('Polarite', 'Tendance helice')
27.63;13;('Polarite', 'Tendance helice')
30.26;14;('Polarite', 'Tendance helice')
29.61;15;('Polarite', 'Tendance helice')
29.93;16;('Polarite', 'Tendance helice')
29.93;17;('Polarite', 'Tendance helice')
28.95;18;('Polarite', 'Tendance helice')
29.28;19;('Polarite', 'Tendance helice')
29.61;1;('Polarite', 'Tendance feuillet')
30.26;2;('Polarite', 'Tendance feuillet')
29.28;3;('Polarite', 'Tendance feuillet')
30.92;4;('Polarite', 'Tendance feuillet')
26.97;5;('Polarite', 'Tendance feuillet')
25.66;6;('Polarite', 'Tendance feuillet')
25.66;7;('Polarite', 'Tendance feuillet')
28.29;8;('Polarite', 'Tendance feuillet')
27.96;9;('Polarite', 'Tendance feuillet')
28.29;10;('Polarite', 'Tendance feuillet')
27.96;11;('Polarite', 'Tendance feuillet')
27.63;12;('Polarite', 'Tendance feuillet')
26.32;13;('Polarite', 'Tendance feuillet')
26.64;14;('Polarite', 'Tendance feuillet')
25.33;15;('Polarite', 'Tendance feuillet')
26.64;16;('Polarite', 'Tendance feuillet')
25.66;17;('Polarite', 'Tendance feuillet')
25.99;18;('Polarite', 'Tendance feuillet')
26.32;19;('Polarite', 'Tendance feuillet')
30.92;1;('Polarite', 'Flexibilite')
32.89;2;('Polarite', 'Flexibilite')
33.88;3;('Polarite', 'Flexibilite')
32.89;4;('Polarite', 'Flexibilite')
32.57;5;('Polarite', 'Flexibilite')
30.59;6;('Polarite', 'Flexibilite')
32.89;7;('Polarite', 'Flexibilite')
32.24;8;('Polarite', 'Flexibilite')
31.58;9;('Polarite', 'Flexibilite')
31.25;10;('Polarite', 'Flexibilite')
30.59;11;('Polarite', 'Flexibilite')
29.28;12;('Polarite', 'Flexibilite')
28.95;13;('Polarite', 'Flexibilite')
29.93;14;('Polarite', 'Flexibilite')
30.59;15;('Polarite', 'Flexibilite')
30.59;16;('Polarite', 'Flexibilite')
30.59;17;('Polarite', 'Flexibilite')
29.61;18;('Polarite', 'Flexibilite')
30.59;19;('Polarite', 'Flexibilite')
31.91;1;('Polarite', 'Hydropathie')
30.92;2;('Polarite', 'Hydropathie')
30.92;3;('Polarite', 'Hydropathie')
29.93;4;('Polarite', 'Hydropathie')
30.92;5;('Polarite', 'Hydropathie')
29.28;6;('Polarite', 'Hydropathie')
29.28;7;('Polarite', 'Hydropathie')
28.62;8;('Polarite', 'Hydropathie')
29.61;9;('Polarite', 'Hydropathie')
29.93;10;('Polarite', 'Hydropathie')
29.61;11;('Polarite', 'Hydropathie')
27.3;12;('Polarite', 'Hydropathie')
27.3;13;('Polarite', 'Hydropathie')
25.99;14;('Polarite', 'Hydropathie')
26.64;15;('Polarite', 'Hydropathie')
27.96;16;('Polarite', 'Hydropathie')
28.95;17;('Polarite', 'Hydropathie')
26.32;18;('Polarite', 'Hydropathie')
26.64;19;('Polarite', 'Hydropathie')
28.29;1;('Polarite', 'Pi')
28.95;2;('Polarite', 'Pi')
30.92;3;('Polarite', 'Pi')
29.61;4;('Polarite', 'Pi')
