Pourcentage erreur;Voisin;Dimension
30.26;10;('Charge', 'Volume', 'Tendance helice')
30.26;11;('Charge', 'Volume', 'Tendance helice')
30.92;12;('Charge', 'Volume', 'Tendance helice')
28.95;13;('Charge', 'Volume', 'Tendance helice')
29.28;14;('Charge', 'Volume', 'Tendance helice')
29.28;15;('Charge', 'Volume', 'Tendance helice')
30.92;16;('Charge', 'Volume', 'Tendance helice')
31.25;17;('Charge', 'Volume', 'Tendance helice')
31.58;18;('Charge', 'Volume', 'Tendance helice')
30.92;19;('Charge', 'Volume', 'Tendance helice')
28.29;1;('Charge', 'Volume', 'Tendance feuillet')
26.97;2;('Charge', 'Volume', 'Tendance feuillet')
24.67;3;('Charge', 'Volume', 'Tendance feuillet')
28.29;4;('Charge', 'Volume', 'Tendance feuillet')
27.96;5;('Charge', 'Volume', 'Tendance feuillet')
30.59;6;('Charge', 'Volume', 'Tendance feuillet')
28.62;7;('Charge', 'Volume', 'Tendance feuillet')
28.95;8;('Charge', 'Volume', 'Tendance feuillet')
28.62;9;('Charge', 'Volume', 'Tendance feuillet')
24.67;10;('Charge', 'Volume', 'Tendance feuillet')
25.66;11;('Charge', 'Volume', 'Tendance feuillet')
25.33;12;('Charge', 'Volume', 'Tendance feuillet')
24.34;13;('Charge', 'Volume', 'Tendance feuillet')
24.67;14;('Charge', 'Volume', 'Tendance feuillet')
25.0;15;('Charge', 'Volume', 'Tendance feuillet')
25.0;16;('Charge', 'Volume', 'Tendance feuillet')
24.67;17;('Charge', 'Volume', 'Tendance feuillet')
24.67;18;('Charge', 'Volume', 'Tendance feuillet')
23.68;19;('Charge', 'Volume', 'Tendance feuillet')
32.24;1;('Charge', 'Volume', 'Flexibilite')
34.54;2;('Charge', 'Volume', 'Flexibilite')
31.25;3;('Charge', 'Volume', 'Flexibilite')
32.57;4;('Charge', 'Volume', 'Flexibilite')
30.59;5;('Charge', 'Volume', 'Flexibilite')
31.25;6;('Charge', 'Volume', 'Flexibilite')
29.93;7;('Charge', 'Volume', 'Flexibilite')
30.26;8;('Charge', 'Volume', 'Flexibilite')
29.93;9;('Charge', 'Volume', 'Flexibilite')
30.92;10;('Charge', 'Volume', 'Flexibilite')
31.58;11;('Charge', 'Volume', 'Flexibilite')
31.91;12;('Charge', 'Volume', 'Flexibilite')
31.91;13;('Charge', 'Volume', 'Flexibilite')
30.26;14;('Charge', 'Volume', 'Flexibilite')
29.93;15;('Charge', 'Volume', 'Flexibilite')
28.29;16;('Charge', 'Volume', 'Flexibilite')
29.28;17;('Charge', 'Volume', 'Flexibilite')
28.95;18;('Charge', 'Volume', 'Flexibilite')
29.28;19;('Charge', 'Volume', 'Flexibilite')
28.29;1;('Charge', 'Volume', 'Hydropathie')
32.57;2;('Charge', 'Volume', 'Hydropathie')
26.97;3;('Charge', 'Volume', 'Hydropathie')
27.63;4;('Charge', 'Volume', 'Hydropathie')
27.96;5;('Charge', 'Volume', 'Hydropathie')
27.63;6;('Charge', 'Volume', 'Hydropathie')
26.32;7;('Charge', 'Volume', 'Hydropathie')
26.97;8;('Charge', 'Volume', 'Hydropathie')
26.64;9;('Charge', 'Volume', 'Hydropathie')
26.64;10;('Charge', 'Volume', 'Hydropathie')
25.99;11;('Charge', 'Volume', 'Hydropathie')
26.64;12;('Charge', 'Volume', 'Hydropathie')
25.99;13;('Charge', 'Volume', 'Hydropathie')
27.63;14;('Charge', 'Volume', 'Hydropathie')
26.64;15;('Charge', 'Volume', 'Hydropathie')
26.97;16;('Charge', 'Volume', 'Hydropathie')
24.34;17;('Charge', 'Volume', 'Hydropathie')
25.33;18;('Charge', 'Volume', 'Hydropathie')
24.67;19;('Charge', 'Volume', 'Hydropathie')
32.89;1;('Charge', 'Volume', 'Pi')
35.53;2;('Charge', 'Volume', 'Pi')
35.86;3;('Charge', 'Volume', 'Pi')
35.86;4;('Charge', 'Volume', 'Pi')
34.87;5;('Charge', 'Volume', 'Pi')
34.54;6;('Charge', 'Volume', 'Pi')
35.2;7;('Charge', 'Volume', 'Pi')
34.54;8;('Charge', 'Volume', 'Pi')
33.22;9;('Charge', 'Volume', 'Pi')
32.89;10;('Charge', 'Volume', 'Pi')
32.57;11;('Charge', 'Volume', 'Pi')
31.58;12;('Charge', 'Volume', 'Pi')
31.25;13;('Charge', 'Volume', 'Pi')
29.93;14;('Charge', 'Volume', 'Pi')
31.25;15;('Charge', 'Volume', 'Pi')
31.25;16;('Charge', 'Volume', 'Pi')
31.58;17;('Charge', 'Volume', 'Pi')
29.93;18;('Charge', 'Volume', 'Pi')
30.92;19;('Charge', 'Volume', 'Pi')
21.38;1;('Charge', 'Tendance helice', 'Tendance feuillet')
26.64;2;('Charge', 'Tendance helice', 'Tendance feuillet')
25.33;3;('Charge', 'Tendance helice', 'Tendance feuillet')
23.03;4;('Charge', 'Tendance helice', 'Tendance feuillet')
23.68;5;('Charge', 'Tendance helice', 'Tendance feuillet')
22.37;6;('Charge', 'Tendance helice', 'Tendance feuillet')
24.01;7;('Charge', 'Tendance helice', 'Tendance feuillet')
24.34;8;('Charge', 'Tendance helice', 'Tendance feuillet')
23.03;9;('Charge', 'Tendance helice', 'Tendance feuillet')
23.36;10;('Charge', 'Tendance helice', 'Tendance feuillet')
23.68;11;('Charge', 'Tendance helice', 'Tendance feuillet')
23.36;12;('Charge', 'Tendance helice', 'Tendance feuillet')
23.36;13;('Charge', 'Tendance helice', 'Tendance feuillet')
22.7;14;('Charge', 'Tendance helice', 'Tendance feuillet')
25.0;15;('Charge', 'Tendance helice', 'Tendance feuillet')
23.68;16;('Charge', 'Tendance helice', 'Tendance feuillet')
24.01;17;('Charge', 'Tendance helice', 'Tendance feuillet')
24.01;18;('Charge', 'Tendance helice', 'Tendance feuillet')
25.0;19;('Charge', 'Tendance helice', 'Tendance feuillet')
28.29;1;('Charge', 'Tendance helice', 'Flexibilite')
30.59;2;('Charge', 'Tendance helice', 'Flexibilite')
27.3;3;('Charge', 'Tendance helice', 'Flexibilite')
31.91;4;('Charge', 'Tendance helice', 'Flexibilite')
28.62;5;('Charge', 'Tendance helice', 'Flexibilite')
30.26;6;('Charge', 'Tendance helice', 'Flexibilite')
27.96;7;('Charge', 'Tendance helice', 'Flexibilite')
29.93;8;('Charge', 'Tendance helice', 'Flexibilite')
27.3;9;('Charge', 'Tendance helice', 'Flexibilite')
28.62;10;('Charge', 'Tendance helice', 'Flexibilite')
28.95;11;('Charge', 'Tendance helice', 'Flexibilite')
28.95;12;('Charge', 'Tendance helice', 'Flexibilite')
29.61;13;('Charge', 'Tendance helice', 'Flexibilite')
29.61;14;('Charge', 'Tendance helice', 'Flexibilite')
29.61;15;('Charge', 'Tendance helice', 'Flexibilite')
31.25;16;('Charge', 'Tendance helice', 'Flexibilite')
30.26;17;('Charge', 'Tendance helice', 'Flexibilite')
29.28;18;('Charge', 'Tendance helice', 'Flexibilite')
27.96;19;('Charge', 'Tendance helice', 'Flexibilite')
27.96;1;('Charge', 'Tendance helice', 'Hydropathie')
28.62;2;('Charge', 'Tendance helice', 'Hydropathie')
28.95;3;('Charge', 'Tendance helice', 'Hydropathie')
28.29;4;('Charge', 'Tendance helice', 'Hydropathie')
26.97;5;('Charge', 'Tendance helice', 'Hydropathie')
29.93;6;('Charge', 'Tendance helice', 'Hydropathie')
30.59;7;('Charge', 'Tendance helice', 'Hydropathie')
29.93;8;('Charge', 'Tendance helice', 'Hydropathie')
26.32;9;('Charge', 'Tendance helice', 'Hydropathie')
26.32;10;('Charge', 'Tendance helice', 'Hydropathie')
25.66;11;('Charge', 'Tendance helice', 'Hydropathie')
27.3;12;('Charge', 'Tendance helice', 'Hydropathie')
25.0;13;('Charge', 'Tendance helice', 'Hydropathie')
24.34;14;('Charge', 'Tendance helice', 'Hydropathie')
23.03;15;('Charge', 'Tendance helice', 'Hydropathie')
25.33;16;('Charge', 'Tendance helice', 'Hydropathie')
26.32;17;('Charge', 'Tendance helice', 'Hydropathie')
25.99;18;('Charge', 'Tendance helice', 'Hydropathie')
25.33;19;('Charge', 'Tendance helice', 'Hydropathie')
29.61;1;('Charge', 'Tendance helice', 'Pi')
35.53;2;('Charge', 'Tendance helice', 'Pi')
33.88;3;('Charge', 'Tendance helice', 'Pi')
35.86;4;('Charge', 'Tendance helice', 'Pi')
33.22;5;('Charge', 'Tendance helice', 'Pi')
34.54;6;('Charge', 'Tendance helice', 'Pi')
31.58;7;('Charge', 'Tendance helice', 'Pi')
33.55;8;('Charge', 'Tendance helice', 'Pi')
33.55;9;('Charge', 'Tendance helice', 'Pi')
34.21;10;('Charge', 'Tendance helice', 'Pi')
33.22;11;('Charge', 'Tendance helice', 'Pi')
32.57;12;('Charge', 'Tendance helice', 'Pi')
31.58;13;('Charge', 'Tendance helice', 'Pi')
33.88;14;('Charge', 'Tendance helice', 'Pi')
32.24;15;('Charge', 'Tendance helice', 'Pi')
33.22;16;('Charge', 'Tendance helice', 'Pi')
31.58;17;('Charge', 'Tendance helice', 'Pi')
34.21;18;('Charge', 'Tendance helice', 'Pi')
33.22;19;('Charge', 'Tendance helice', 'Pi')
27.63;1;('Charge', 'Tendance feuillet', 'Flexibilite')
29.61;2;('Charge', 'Tendance feuillet', 'Flexibilite')
27.3;3;('Charge', 'Tendance feuillet', 'Flexibilite')
24.67;4;('Charge', 'Tendance feuillet', 'Flexibilite')
23.03;5;('Charge', 'Tendance feuillet', 'Flexibilite')
21.05;6;('Charge', 'Tendance feuillet', 'Flexibilite')
22.37;7;('Charge', 'Tendance feuillet', 'Flexibilite')
23.68;8;('Charge', 'Tendance feuillet', 'Flexibilite')
23.68;9;('Charge', 'Tendance feuillet', 'Flexibilite')
24.67;10;('Charge', 'Tendance feuillet', 'Flexibilite')
25.33;11;('Charge', 'Tendance feuillet', 'Flexibilite')
25.33;12;('Charge', 'Tendance feuillet', 'Flexibilite')
25.33;13;('Charge', 'Tendance feuillet', 'Flexibilite')
24.01;14;('Charge', 'Tendance feuillet', 'Flexibilite')
25.66;15;('Charge', 'Tendance feuillet', 'Flexibilite')
23.68;16;('Charge', 'Tendance feuillet', 'Flexibilite')
24.34;17;('Charge', 'Tendance feuillet', 'Flexibilite')
23.68;18;('Charge', 'Tendance feuillet', 'Flexibilite')
25.0;19;('Charge', 'Tendance feuillet', 'Flexibilite')
25.33;1;('Charge', 'Tendance feuillet', 'Hydropathie')
28.95;2;('Charge', 'Tendance feuillet', 'Hydropathie')
27.63;3;('Charge', 'Tendance feuillet', 'Hydropathie')
25.99;4;('Charge', 'Tendance feuillet', 'Hydropathie')
29.93;5;('Charge', 'Tendance feuillet', 'Hydropathie')
25.99;6;('Charge', 'Tendance feuillet', 'Hydropathie')
26.32;7;('Charge', 'Tendance feuillet', 'Hydropathie')
24.34;8;('Charge', 'Tendance feuillet', 'Hydropathie')
26.97;9;('Charge', 'Tendance feuillet', 'Hydropathie')
24.34;10;('Charge', 'Tendance feuillet', 'Hydropathie')
23.68;11;('Charge', 'Tendance feuillet', 'Hydropathie')
23.03;12;('Charge', 'Tendance feuillet', 'Hydropathie')
24.34;13;('Charge', 'Tendance feuillet', 'Hydropathie')
23.68;14;('Charge', 'Tendance feuillet', 'Hydropathie')
23.03;15;('Charge', 'Tendance feuillet', 'Hydropathie')
23.68;16;('Charge', 'Tendance feuillet', 'Hydropathie')
23.68;17;('Charge', 'Tendance feuillet', 'Hydropathie')
24.67;18;('Charge', 'Tendance feuillet', 'Hydropathie')
25.33;19;('Charge', 'Tendance feuillet', 'Hydropathie')
25.0;1;('Charge', 'Tendance feuillet', 'Pi')
27.63;2;('Charge', 'Tendance feuillet', 'Pi')
25.33;3;('Charge', 'Tendance feuillet', 'Pi')
26.32;4;('Charge', 'Tendance feuillet', 'Pi')
24.01;5;('Charge', 'Tendance feuillet', 'Pi')
24.67;6;('Charge', 'Tendance feuillet', 'Pi')
26.32;7;('Charge', 'Tendance feuillet', 'Pi')
24.67;8;('Charge', 'Tendance feuillet', 'Pi')
24.34;9;('Charge', 'Tendance feuillet', 'Pi')
23.03;10;('Charge', 'Tendance feuillet', 'Pi')
23.03;11;('Charge', 'Tendance feuillet', 'Pi')
23.36;12;('Charge', 'Tendance feuillet', 'Pi')
22.04;13;('Charge', 'Tendance feuillet', 'Pi')
23.68;14;('Charge', 'Tendance feuillet', 'Pi')
24.67;15;('Charge', 'Tendance feuillet', 'Pi')
23.68;16;('Charge', 'Tendance feuillet', 'Pi')
23.68;17;('Charge', 'Tendance feuillet', 'Pi')
25.0;18;('Charge', 'Tendance feuillet', 'Pi')
24.34;19;('Charge', 'Tendance feuillet', 'Pi')
32.89;1;('Charge', 'Flexibilite', 'Hydropathie')
30.26;2;('Charge', 'Flexibilite', 'Hydropathie')
28.95;3;('Charge', 'Flexibilite', 'Hydropathie')
27.3;4;('Charge', 'Flexibilite', 'Hydropathie')
30.26;5;('Charge', 'Flexibilite', 'Hydropathie')
28.62;6;('Charge', 'Flexibilite', 'Hydropathie')
27.3;7;('Charge', 'Flexibilite', 'Hydropathie')
26.97;8;('Charge', 'Flexibilite', 'Hydropathie')
27.96;9;('Charge', 'Flexibilite', 'Hydropathie')
29.28;10;('Charge', 'Flexibilite', 'Hydropathie')
28.62;11;('Charge', 'Flexibilite', 'Hydropathie')
27.96;12;('Charge', 'Flexibilite', 'Hydropathie')
27.63;13;('Charge', 'Flexibilite', 'Hydropathie')
27.96;14;('Charge', 'Flexibilite', 'Hydropathie')
27.96;15;('Charge', 'Flexibilite', 'Hydropathie')
27.3;16;('Charge', 'Flexibilite', 'Hydropathie')
26.64;17;('Charge', 'Flexibilite', 'Hydropathie')
25.99;18;('Charge', 'Flexibilite', 'Hydropathie')
26.32;19;('Charge', 'Flexibilite', 'Hydropathie')
28.29;1;('Charge', 'Flexibilite', 'Pi')
36.18;2;('Charge', 'Flexibilite', 'Pi')
31.91;3;('Charge', 'Flexibilite', 'Pi')
33.22;4;('Charge', 'Flexibilite', 'Pi')
32.24;5;('Charge', 'Flexibilite', 'Pi')
34.87;6;('Charge', 'Flexibilite', 'Pi')
33.22;7;('Charge', 'Flexibilite', 'Pi')
30.92;8;('Charge', 'Flexibilite', 'Pi')
30.26;9;('Charge', 'Flexibilite', 'Pi')
30.59;10;('Charge', 'Flexibilite', 'Pi')
29.93;11;('Charge', 'Flexibilite', 'Pi')
30.92;12;('Charge', 'Flexibilite', 'Pi')
31.25;13;('Charge', 'Flexibilite', 'Pi')
31.25;14;('Charge', 'Flexibilite', 'Pi')
29.61;15;('Charge', 'Flexibilite', 'Pi')
29.28;16;('Charge', 'Flexibilite', 'Pi')
28.29;17;('Charge', 'Flexibilite', 'Pi')
31.25;18;('Charge', 'Flexibilite', 'Pi')
30.59;19;('Charge', 'Flexibilite', 'Pi')
28.29;1;('Charge', 'Hydropathie', 'Pi')
31.58;2;('Charge', 'Hydropathie', 'Pi')
31.58;3;('Charge', 'Hydropathie', 'Pi')
30.26;4;('Charge', 'Hydropathie', 'Pi')
28.29;5;('Charge', 'Hydropathie', 'Pi')
29.61;6;('Charge', 'Hydropathie', 'Pi')
29.93;7;('Charge', 'Hydropathie', 'Pi')
29.61;8;('Charge', 'Hydropathie', 'Pi')
28.62;9;('Charge', 'Hydropathie', 'Pi')
29.93;10;('Charge', 'Hydropathie', 'Pi')
28.29;11;('Charge', 'Hydropathie', 'Pi')
29.28;12;('Charge', 'Hydropathie', 'Pi')
29.93;13;('Charge', 'Hydropathie', 'Pi')
29.61;14;('Charge', 'Hydropathie', 'Pi')
29.93;15;('Charge', 'Hydropathie', 'Pi')
28.29;16;('Charge', 'Hydropathie', 'Pi')
28.29;17;('Charge', 'Hydropathie', 'Pi')
28.29;18;('Charge', 'Hydropathie', 'Pi')
27.96;19;('Charge', 'Hydropathie', 'Pi')
22.7;1;('Volume', 'Tendance helice', 'Tendance feuillet')
27.3;2;('Volume', 'Tendance helice', 'Tendance feuillet')
26.64;3;('Volume', 'Tendance helice', 'Tendance feuillet')
27.3;4;('Volume', 'Tendance helice', 'Tendance feuillet')
24.67;5;('Volume', 'Tendance helice', 'Tendance feuillet')
24.01;6;('Volume', 'Tendance helice', 'Tendance feuillet')
25.0;7;('Volume', 'Tendance helice', 'Tendance feuillet')
24.34;8;('Volume', 'Tendance helice', 'Tendance feuillet')
25.0;9;('Volume', 'Tendance helice', 'Tendance feuillet')
23.68;10;('Volume', 'Tendance helice', 'Tendance feuillet')
25.66;11;('Volume', 'Tendance helice', 'Tendance feuillet')
25.99;12;('Volume', 'Tendance helice', 'Tendance feuillet')
26.32;13;('Volume', 'Tendance helice', 'Tendance feuillet')
25.33;14;('Volume', 'Tendance helice', 'Tendance feuillet')
25.0;15;('Volume', 'Tendance helice', 'Tendance feuillet')
24.67;16;('Volume', 'Tendance helice', 'Tendance feuillet')
25.66;17;('Volume', 'Tendance helice', 'Tendance feuillet')
26.64;18;('Volume', 'Tendance helice', 'Tendance feuillet')
25.33;19;('Volume', 'Tendance helice', 'Tendance feuillet')
34.21;1;('Volume', 'Tendance helice', 'Flexibilite')
34.21;2;('Volume', 'Tendance helice', 'Flexibilite')
37.17;3;('Volume', 'Tendance helice', 'Flexibilite')
32.89;4;('Volume', 'Tendance helice', 'Flexibilite')
32.24;5;('Volume', 'Tendance helice', 'Flexibilite')
32.24;6;('Volume', 'Tendance helice', 'Flexibilite')
30.92;7;('Volume', 'Tendance helice', 'Flexibilite')
29.93;8;('Volume', 'Tendance helice', 'Flexibilite')
32.24;9;('Volume', 'Tendance helice', 'Flexibilite')
31.25;10;('Volume', 'Tendance helice', 'Flexibilite')
28.95;11;('Volume', 'Tendance helice', 'Flexibilite')
32.24;12;('Volume', 'Tendance helice', 'Flexibilite')
30.59;13;('Volume', 'Tendance helice', 'Flexibilite')
29.28;14;('Volume', 'Tendance helice', 'Flexibilite')
29.61;15;('Volume', 'Tendance helice', 'Flexibilite')
29.28;16;('Volume', 'Tendance helice', 'Flexibilite')
28.95;17;('Volume', 'Tendance helice', 'Flexibilite')
29.61;18;('Volume', 'Tendance helice', 'Flexibilite')
28.95;19;('Volume', 'Tendance helice', 'Flexibilite')
32.89;1;('Volume', 'Tendance helice', 'Hydropathie')
31.25;2;('Volume', 'Tendance helice', 'Hydropathie')
28.95;3;('Volume', 'Tendance helice', 'Hydropathie')
26.32;4;('Volume', 'Tendance helice', 'Hydropathie')
26.32;5;('Volume', 'Tendance helice', 'Hydropathie')
27.3;6;('Volume', 'Tendance helice', 'Hydropathie')
26.97;7;('Volume', 'Tendance helice', 'Hydropathie')
25.99;8;('Volume', 'Tendance helice', 'Hydropathie')
25.66;9;('Volume', 'Tendance helice', 'Hydropathie')
26.32;10;('Volume', 'Tendance helice', 'Hydropathie')
26.64;11;('Volume', 'Tendance helice', 'Hydropathie')
25.99;12;('Volume', 'Tendance helice', 'Hydropathie')
25.66;13;('Volume', 'Tendance helice', 'Hydropathie')
26.97;14;('Volume', 'Tendance helice', 'Hydropathie')
26.32;15;('Volume', 'Tendance helice', 'Hydropathie')
27.96;16;('Volume', 'Tendance helice', 'Hydropathie')
25.66;17;('Volume', 'Tendance helice', 'Hydropathie')
26.64;18;('Volume', 'Tendance helice', 'Hydropathie')
25.66;19;('Volume', 'Tendance helice', 'Hydropathie')
33.22;1;('Volume', 'Tendance helice', 'Pi')
33.88;2;('Volume', 'Tendance helice', 'Pi')
33.22;3;('Volume', 'Tendance helice', 'Pi')
33.88;4;('Volume', 'Tendance helice', 'Pi')
32.89;5;('Volume', 'Tendance helice', 'Pi')
34.21;6;('Volume', 'Tendance helice', 'Pi')
31.91;7;('Volume', 'Tendance helice', 'Pi')
32.57;8;('Volume', 'Tendance helice', 'Pi')
29.61;9;('Volume', 'Tendance helice', 'Pi')
29.61;10;('Volume', 'Tendance helice', 'Pi')
29.93;11;('Volume', 'Tendance helice', 'Pi')
30.26;12;('Volume', 'Tendance helice', 'Pi')
28.95;13;('Volume', 'Tendance helice', 'Pi')
28.62;14;('Volume', 'Tendance helice', 'Pi')
28.95;15;('Volume', 'Tendance helice', 'Pi')
29.93;16;('Volume', 'Tendance helice', 'Pi')
29.61;17;('Volume', 'Tendance helice', 'Pi')
29.28;18;('Volume', 'Tendance helice', 'Pi')
29.28;19;('Volume', 'Tendance helice', 'Pi')
24.67;1;('Volume', 'Tendance feuillet', 'Flexibilite')
27.3;2;('Volume', 'Tendance feuillet', 'Flexibilite')
27.63;3;('Volume', 'Tendance feuillet', 'Flexibilite')
25.66;4;('Volume', 'Tendance feuillet', 'Flexibilite')
25.0;5;('Volume', 'Tendance feuillet', 'Flexibilite')
26.97;6;('Volume', 'Tendance feuillet', 'Flexibilite')
25.0;7;('Volume', 'Tendance feuillet', 'Flexibilite')
24.67;8;('Volume', 'Tendance feuillet', 'Flexibilite')
25.33;9;('Volume', 'Tendance feuillet', 'Flexibilite')
25.0;10;('Volume', 'Tendance feuillet', 'Flexibilite')
25.0;11;('Volume', 'Tendance feuillet', 'Flexibilite')
23.68;12;('Volume', 'Tendance feuillet', 'Flexibilite')
22.04;13;('Volume', 'Tendance feuillet', 'Flexibilite')
22.7;14;('Volume', 'Tendance feuillet', 'Flexibilite')
24.01;15;('Volume', 'Tendance feuillet', 'Flexibilite')
24.67;16;('Volume', 'Tendance feuillet', 'Flexibilite')
25.33;17;('Volume', 'Tendance feuillet', 'Flexibilite')
25.0;18;('Volume', 'Tendance feuillet', 'Flexibilite')
24.34;19;('Volume', 'Tendance feuillet', 'Flexibilite')
26.97;1;('Volume', 'Tendance feuillet', 'Hydropathie')
31.58;2;('Volume', 'Tendance feuillet', 'Hydropathie')
27.63;3;('Volume', 'Tendance feuillet', 'Hydropathie')
25.0;4;('Volume', 'Tendance feuillet', 'Hydropathie')
25.99;5;('Volume', 'Tendance feuillet', 'Hydropathie')
27.3;6;('Volume', 'Tendance feuillet', 'Hydropathie')
25.66;7;('Volume', 'Tendance feuillet', 'Hydropathie')
24.67;8;('Volume', 'Tendance feuillet', 'Hydropathie')
24.34;9;('Volume', 'Tendance feuillet', 'Hydropathie')
24.01;10;('Volume', 'Tendance feuillet', 'Hydropathie')
24.34;11;('Volume', 'Tendance feuillet', 'Hydropathie')
24.01;12;('Volume', 'Tendance feuillet', 'Hydropathie')
22.37;13;('Volume', 'Tendance feuillet', 'Hydropathie')
25.33;14;('Volume', 'Tendance feuillet', 'Hydropathie')
25.99;15;('Volume', 'Tendance feuillet', 'Hydropathie')
26.32;16;('Volume', 'Tendance feuillet', 'Hydropathie')
26.32;17;('Volume', 'Tendance feuillet', 'Hydropathie')
25.66;18;('Volume', 'Tendance feuillet', 'Hydropathie')
25.33;19;('Volume', 'Tendance feuillet', 'Hydropathie')
29.93;1;('Volume', 'Tendance feuillet', 'Pi')
31.91;2;('Volume', 'Tendance feuillet', 'Pi')
28.95;3;('Volume', 'Tendance feuillet', 'Pi')
30.26;4;('Volume', 'Tendance feuillet', 'Pi')
30.26;5;('Volume', 'Tendance feuillet', 'Pi')
30.59;6;('Volume', 'Tendance feuillet', 'Pi')
28.29;7;('Volume', 'Tendance feuillet', 'Pi')
27.3;8;('Volume', 'Tendance feuillet', 'Pi')
27.63;9;('Volume', 'Tendance feuillet', 'Pi')
25.99;10;('Volume', 'Tendance feuillet', 'Pi')
26.97;11;('Volume', 'Tendance feuillet', 'Pi')
25.99;12;('Volume', 'Tendance feuillet', 'Pi')
25.66;13;('Volume', 'Tendance feuillet', 'Pi')
25.0;14;('Volume', 'Tendance feuillet', 'Pi')
26.97;15;('Volume', 'Tendance feuillet', 'Pi')
25.99;16;('Volume', 'Tendance feuillet', 'Pi')
25.33;17;('Volume', 'Tendance feuillet', 'Pi')
25.99;18;('Volume', 'Tendance feuillet', 'Pi')
25.0;19;('Volume', 'Tendance feuillet', 'Pi')
30.92;1;('Volume', 'Flexibilite', 'Hydropathie')
33.55;2;('Volume', 'Flexibilite', 'Hydropathie')
28.62;3;('Volume', 'Flexibilite', 'Hydropathie')
25.0;4;('Volume', 'Flexibilite', 'Hydropathie')
25.33;5;('Volume', 'Flexibilite', 'Hydropathie')
27.3;6;('Volume', 'Flexibilite', 'Hydropathie')
27.3;7;('Volume', 'Flexibilite', 'Hydropathie')
25.99;8;('Volume', 'Flexibilite', 'Hydropathie')
25.99;9;('Volume', 'Flexibilite', 'Hydropathie')
25.99;10;('Volume', 'Flexibilite', 'Hydropathie')
26.97;11;('Volume', 'Flexibilite', 'Hydropathie')
26.32;12;('Volume', 'Flexibilite', 'Hydropathie')
26.32;13;('Volume', 'Flexibilite', 'Hydropathie')
27.3;14;('Volume', 'Flexibilite', 'Hydropathie')
27.63;15;('Volume', 'Flexibilite', 'Hydropathie')
27.63;16;('Volume', 'Flexibilite', 'Hydropathie')
25.99;17;('Volume', 'Flexibilite', 'Hydropathie')
25.66;18;('Volume', 'Flexibilite', 'Hydropathie')
25.33;19;('Volume', 'Flexibilite', 'Hydropathie')
34.21;1;('Volume', 'Flexibilite', 'Pi')
36.18;2;('Volume', 'Flexibilite', 'Pi')
36.18;3;('Volume', 'Flexibilite', 'Pi')
36.18;4;('Volume', 'Flexibilite', 'Pi')
35.2;5;('Volume', 'Flexibilite', 'Pi')
34.54;6;('Volume', 'Flexibilite', 'Pi')
33.55;7;('Volume', 'Flexibilite', 'Pi')
32.57;8;('Volume', 'Flexibilite', 'Pi')
33.55;9;('Volume', 'Flexibilite', 'Pi')
31.58;10;('Volume', 'Flexibilite', 'Pi')
31.25;11;('Volume', 'Flexibilite', 'Pi')
30.92;12;('Volume', 'Flexibilite', 'Pi')
30.26;13;('Volume', 'Flexibilite', 'Pi')
29.93;14;('Volume', 'Flexibilite', 'Pi')
30.92;15;('Volume', 'Flexibilite', 'Pi')
30.59;16;('Volume', 'Flexibilite', 'Pi')
31.91;17;('Volume', 'Flexibilite', 'Pi')
30.26;18;('Volume', 'Flexibilite', 'Pi')
30.59;19;('Volume', 'Flexibilite', 'Pi')
30.92;1;('Volume', 'Hydropathie', 'Pi')
33.22;2;('Volume', 'Hydropathie', 'Pi')
28.62;3;('Volume', 'Hydropathie', 'Pi')
28.62;4;('Volume', 'Hydropathie', 'Pi')
25.99;5;('Volume', 'Hydropathie', 'Pi')
25.99;6;('Volume', 'Hydropathie', 'Pi')
27.96;7;('Volume', 'Hydropathie', 'Pi')
27.3;8;('Volume', 'Hydropathie', 'Pi')
28.29;9;('Volume', 'Hydropathie', 'Pi')
26.64;10;('Volume', 'Hydropathie', 'Pi')
26.32;11;('Volume', 'Hydropathie', 'Pi')
26.64;12;('Volume', 'Hydropathie', 'Pi')
27.96;13;('Volume', 'Hydropathie', 'Pi')
28.95;14;('Volume', 'Hydropathie', 'Pi')
28.62;15;('Volume', 'Hydropathie', 'Pi')
27.63;16;('Volume', 'Hydropathie', 'Pi')
28.62;17;('Volume', 'Hydropathie', 'Pi')
28.62;18;('Volume', 'Hydropathie', 'Pi')
26.97;19;('Volume', 'Hydropathie', 'Pi')
22.04;1;('Tendance helice', 'Tendance feuillet', 'Flexibilite')
25.99;2;('Tendance helice', 'Tendance feuillet', 'Flexibilite')
25.33;3;('Tendance helice', 'Tendance feuillet', 'Flexibilite')
23.68;4;('Tendance helice', 'Tendance feuillet', 'Flexibilite')
23.03;5;('Tendance helice', 'Tendance feuillet', 'Flexibilite')
24.01;6;('Tendance helice', 'Tendance feuillet', 'Flexibilite')
23.03;7;('Tendance helice', 'Tendance feuillet', 'Flexibilite')
23.68;8;('Tendance helice', 'Tendance feuillet', 'Flexibilite')
23.03;9;('Tendance helice', 'Tendance feuillet', 'Flexibilite')
22.37;10;('Tendance helice', 'Tendance feuillet', 'Flexibilite')
24.01;11;('Tendance helice', 'Tendance feuillet', 'Flexibilite')
22.37;12;('Tendance helice', 'Tendance feuillet', 'Flexibilite')
